train_start,test_start,oos_score,oos_profit_pct,oos_equity_ret,trades_count,params
7476,8547,-10.0,-1.1942171614145638,-0.11100525653819071,559,"{'sl': 1.7834194611067422, 'tp': 5.872935879360254, 'conf': 0.5841250084764715, 'trail_on': 1.0, 'trail_act': 2.493987795166314, 'trail_off': 0.46229556848338604, 'vol_exit': 6.313821151446084, 'max_hold': 26.0, 'pullback': 0.19348682905451997, 'fill_wait': 8, 'abort': 0.7732451935509514}"
8010,9081,-10.0,-1.057986957361832,-0.08834960685871263,478,"{'sl': 1.9948789443982555, 'tp': 3.506122701644468, 'conf': 0.6409569695911872, 'trail_on': 1.0, 'trail_act': 1.563768106938655, 'trail_off': 0.2946276506151618, 'vol_exit': 9.615131315299204, 'max_hold': 49.0, 'pullback': 0.18889607862226973, 'fill_wait': 8, 'abort': 0.8410900511610135}"
8544,9615,-10.0,-1.801922570062398,-0.08129011629148897,342,"{'sl': 1.9696717155793082, 'tp': 4.74054872603547, 'conf': 0.6514401300578271, 'trail_on': 1.0, 'trail_act': 2.350161282333027, 'trail_off': 0.23038107206278338, 'vol_exit': 6.383577259542204, 'max_hold': 42.0, 'pullback': 0.11972568044794846, 'fill_wait': 5, 'abort': 0.6624826675472766}"
9078,10149,-10.0,-1.1787269020451292,-0.06830091778848768,247,"{'sl': 2.0831728934820912, 'tp': 3.7355072296208705, 'conf': 0.7113890399198048, 'trail_on': 1.0, 'trail_act': 1.39972781451048, 'trail_off': 0.3523377722889517, 'vol_exit': 6.21552975594458, 'max_hold': 48.0, 'pullback': 0.05365254976913021, 'fill_wait': 8, 'abort': 0.8023125023003604}"
9612,10683,-10.0,-0.5578692993511096,-0.03913990045150317,193,"{'sl': 2.041057241974195, 'tp': 3.6150617279712227, 'conf': 0.7241588770362768, 'trail_on': 1.0, 'trail_act': 1.234898297893431, 'trail_off': 0.3203993566122724, 'vol_exit': 8.7550410523428, 'max_hold': 45.0, 'pullback': 0.07418289438771962, 'fill_wait': 2, 'abort': 0.8147532454406549}"
10146,11217,-10.0,-0.9654231559929833,-0.06220516361643946,180,"{'sl': 1.9671766287285029, 'tp': 3.6569439279274842, 'conf': 0.7275324437908189, 'trail_on': 1.0, 'trail_act': 2.1520817990936814, 'trail_off': 0.23821820883979944, 'vol_exit': 8.724693987482, 'max_hold': 43.0, 'pullback': 0.1671549516773293, 'fill_wait': 6, 'abort': 0.8126838710978632}"
10680,11751,-10.0,-0.7859073121595429,-0.058221090347895355,379,"{'sl': 1.7368184747545539, 'tp': 3.795552629734876, 'conf': 0.6130195894989152, 'trail_on': 1.0, 'trail_act': 2.4055179665346804, 'trail_off': 0.44574150715688987, 'vol_exit': 7.6511430477364595, 'max_hold': 60.0, 'pullback': 0.1899119736120805, 'fill_wait': 4, 'abort': 0.7458984207085031}"
11214,12285,-10.0,-0.34721140803957407,-0.05191300446948066,193,"{'sl': 1.9345385058459093, 'tp': 6.006381466867856, 'conf': 0.745932983193494, 'trail_on': 1.0, 'trail_act': 1.4890955689271592, 'trail_off': 0.2394580970425476, 'vol_exit': 6.411563345134548, 'max_hold': 71.0, 'pullback': 0.16750116580723817, 'fill_wait': 6, 'abort': 0.8495953853222284}"
11748,12819,-10.0,-0.33831267463266096,-0.04639434688282695,222,"{'sl': 1.7006534910006046, 'tp': 4.21573177823261, 'conf': 0.7370449655199401, 'trail_on': 1.0, 'trail_act': 1.4265162603625734, 'trail_off': 0.358539553254959, 'vol_exit': 6.069184401730471, 'max_hold': 71.0, 'pullback': 0.11662780061039763, 'fill_wait': 2, 'abort': 0.7473087593180026}"
12282,13353,-10.0,-0.49071507938453796,-0.06989948499314935,256,"{'sl': 1.6478428351099828, 'tp': 5.1396831612609395, 'conf': 0.7359665387479682, 'trail_on': 1.0, 'trail_act': 1.8216800042097228, 'trail_off': 0.4498471120573744, 'vol_exit': 7.652774986677962, 'max_hold': 52.0, 'pullback': 0.08322121318638427, 'fill_wait': 4, 'abort': 0.7125913307727967}"
