symbol,entry_date,exit_date,entry_price,exit_price,type,pnl,reason,equity_after
SNGSP,2023-06-21 15:00:00,2023-06-22 07:00:00,37.471184782077046,37.91158064741343,SHORT,-0.011752920754911158,SL,828.1171925568013
TATN,2023-06-21 16:00:00,2023-06-22 11:00:00,501.3761539504348,504.71330564949477,LONG,0.006655984080546995,TRAIL,823.9706187532173
SBER,2023-06-21 20:00:00,2023-06-22 19:00:00,242.7376655310516,240.68015005681602,LONG,-0.008476292584153446,SL,824.4998340986253
MOEX,2023-06-22 08:00:00,2023-06-22 19:00:00,123.99586550393852,122.91720207233926,LONG,-0.008699188696456908,SL,824.4998340986253
ALRS,2023-06-22 08:00:00,2023-06-22 15:00:00,68.43595457757776,68.86,LONG,0.006196237417007879,TRAIL,824.96429976872
SNGS,2023-06-22 09:00:00,2023-06-22 14:00:00,27.217350095338524,27.38566528247474,LONG,0.00618411368287623,TRAIL,825.2246490069803
HKDRUB_TOM,2023-06-22 09:00:00,2023-06-22 15:00:00,10.622023831048818,10.675,LONG,0.004987389389612402,SL,824.96429976872
KZTRUB_TOM,2023-06-22 09:00:00,2023-06-22 13:00:00,18.628547411417593,18.7675,LONG,0.007459120967061579,TRAIL,824.6316813264457
SNGSP,2023-06-22 10:00:00,2023-06-22 14:00:00,38.06774900550233,38.450359329860184,SHORT,-0.010050773538055878,SL,825.2246490069803
NLMK,2023-06-22 11:00:00,2023-06-23 06:00:00,174.5732186916651,171.34,LONG,-0.01852070275095097,SL,819.9564751029153
GAZP,2023-06-22 12:00:00,2023-06-22 19:00:00,169.82483438672355,168.39245340125572,LONG,-0.008434461253211208,SL,824.4998340986253
CNYRUB_TOM,2023-06-22 13:00:00,2023-06-23 11:00:00,11.626346084457877,11.705220256339487,LONG,0.006784089455847983,TRAIL,816.2543565885221
CHMF,2023-06-22 14:00:00,2023-06-22 16:00:00,1174.075564030091,1155.1639324371172,LONG,-0.01610767839171993,SL,825.392943966263
SNGS,2023-06-22 16:00:00,2023-06-22 20:00:00,27.227714495884324,27.02108740996109,LONG,-0.00758885164432245,SL,821.0592936123569
T,2023-06-22 19:00:00,2023-06-23 07:00:00,3356.865653946006,3320.968575459343,LONG,-0.0106936297687297,SL,819.7952029841432
ALRS,2023-06-22 19:00:00,2023-06-23 07:00:00,68.68918212526916,68.17086333346172,LONG,-0.007545857670312158,SL,819.7952029841432
SNGSP,2023-06-22 19:00:00,2023-06-23 06:00:00,38.05,37.68,SHORT,0.009724047306176018,SL,819.9564751029153
CHMF,2023-06-22 19:00:00,2023-06-23 13:00:00,1170.286075746273,1194.4,LONG,0.020605153520561307,TRAIL,818.1305515480026
GAZP,2023-06-23 06:00:00,2023-06-23 07:00:00,168.19,166.56500054460372,LONG,-0.00966168889586942,SL,819.7952029841432
HKDRUB_TOM,2023-06-23 06:00:00,2023-06-23 11:00:00,10.692627694810435,10.770820501257974,LONG,0.007312777427525096,TRAIL,816.2543565885221
ROSN,2023-06-23 07:00:00,2023-06-23 08:00:00,474.0902344680627,469.5,LONG,-0.009682195781174494,SL,816.5933439820833
GMKN,2023-06-23 07:00:00,2023-06-23 09:00:00,151.69878070830495,152.69127131735232,LONG,0.006542508808661969,SL,815.8968508358015
KZTRUB_TOM,2023-06-23 08:00:00,2023-06-23 12:00:00,18.7414118119634,18.901141902803904,LONG,0.008522841952522618,TRAIL,817.4254279283778
NLMK,2023-06-23 10:00:00,2023-06-23 16:00:00,170.6132186916651,173.44,LONG,0.01656836047061213,TRAIL,817.7552177458654
T,2023-06-23 10:00:00,2023-06-23 13:00:00,3287.755593453897,3239.9161698316702,LONG,-0.014550784650013991,SL,818.1305515480026
GMKN,2023-06-23 11:00:00,2023-06-23 18:00:00,152.6454540597727,151.3916829282385,LONG,-0.008213615919693513,SL,818.2029959468306
ROSN,2023-06-23 12:00:00,2023-06-23 18:00:00,473.41946171573915,478.85,LONG,0.01147088094895769,SL,818.2029959468306
GAZP,2023-06-23 13:00:00,2023-06-23 19:00:00,168.59007019041132,166.2366227032857,LONG,-0.013959585427941111,SL,818.0005107076373
MGNT,2023-06-23 18:00:00,2023-06-23 19:00:00,4858.382273832416,4780.0,LONG,-0.01613341013830642,SL,818.0005107076373
SNGS,2023-06-23 18:00:00,2023-06-23 19:00:00,26.922878187948026,26.365,LONG,-0.02072134279453675,SL,818.0005107076373
MOEX,2023-06-23 19:00:00,2023-06-24 07:00:00,119.50067482265803,117.83014736527866,LONG,-0.013979230325338906,SL,815.5326632503015
NLMK,2023-06-26 07:00:00,2023-06-26 19:00:00,173.28454861147748,166.036858640967,SHORT,0.04182536774678371,TRAIL,814.395520964365
CHMF,2023-06-26 09:00:00,2023-06-27 12:00:00,1168.5664059861274,1193.8,LONG,0.021593632920311866,SMART_CUT,814.5412358158101
GMKN,2023-06-26 10:00:00,2023-06-30 11:00:00,149.55765166142447,147.56,LONG,-0.013357067587199392,TIME,814.9462930031352
SNGS,2023-06-26 19:00:00,2023-06-27 13:00:00,26.176323406136703,27.20770775875352,SHORT,-0.03940142152946596,SL,814.841129897742
ALRS,2023-06-26 19:00:00,2023-06-28 11:00:00,66.73558207104308,67.25,SHORT,-0.007708300624534827,SMART_CUT,814.267513025155
GAZP,2023-06-26 19:00:00,2023-06-30 06:00:00,165.91695444201255,167.2,SHORT,-0.007733058760042848,SMART_CUT,814.9728574499671
SNGSP,2023-06-26 19:00:00,2023-06-28 07:00:00,38.146038052028516,40.02,SHORT,-0.049125991680067406,SL,814.6841247498063
NVTK,2023-06-27 07:00:00,2023-06-28 08:00:00,1325.217938423369,1319.0,SHORT,0.004692011965040766,SMART_CUT,813.7339448263115
TATN,2023-06-27 07:00:00,2023-06-29 06:00:00,499.5110515005177,500.0,SHORT,-0.0009788542175664205,SMART_CUT,813.5201679253196
HKDRUB_TOM,2023-06-27 07:00:00,2023-06-27 15:00:00,10.73072340324825,10.830873081740247,LONG,0.009332984807126889,TRAIL,813.8114012171217
SBER,2023-06-27 07:00:00,2023-07-01 09:00:00,239.2650853956635,238.1,SHORT,0.00486943338906658,TIME,814.4303940523789
LKOH,2023-06-27 09:00:00,2023-06-28 10:00:00,5143.2367057353695,5104.5,SHORT,0.007531581366296649,SL,814.0642500092823
NLMK,2023-06-27 09:00:00,2023-06-28 12:00:00,171.61776730314256,169.15030872106254,SHORT,0.014377640618768443,TRAIL,813.9809442556771
GLDRUB_TOM,2023-06-27 10:00:00,2023-06-28 15:00:00,5226.660534297413,5260.0,LONG,0.006378731789411883,SMART_CUT,814.1549026351356
